time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2026-01-23 02:00:00,1,89948.8,-2.6914,0.0519,0.8,0.195,0.2287,12.94,1.0288,89943.0,0.0331,49,0,0.0535,0.8442,0.8442,3.0899,-0.4307,0,64.24,79.05,3.479,1,1,0,57.0,89653.6,SL,-0.328
2026-01-23 06:30:00,-1,89653.6,3.442,0.9298,0.932,0.2069,0.09,19.31,1.023,90096.9,-2.3894,18,0,0.0628,2.8427,4.2263,0.2059,0.442,1,47.34,30.24,0.696,1,0,0,44.0,88963.9,TP,0.769
2026-01-23 14:30:00,1,88963.9,-3.8755,2.8389,0.2899,0.2861,0.0244,22.0,4.168,89700.0,-2.8919,32,0,-0.0782,5.9787,8.8714,1.5727,1.0302,1,39.62,243.49,5.86,1,1,0,25.0,89010.7,TP,0.053
2026-01-23 14:45:00,-1,89010.7,3.3618,0.172,0.7312,0.3051,0.0153,22.55,1.5646,89717.2,-2.6015,1,0,-0.0791,1.6463,1.6463,8.1425,-1.089,0,41.22,51.62,1.295,1,0,1,23.0,89747.1,SL,-0.827
2026-01-23 16:00:00,1,89747.1,-3.1531,0.0204,0.3191,0.3923,0.1828,22.02,0.8463,89858.9,-0.3175,5,0,0.0369,4.1888,4.1888,1.503,-0.1513,0,60.59,115.18,2.306,1,1,0,75.0,89508.3,SL,-0.266
2026-01-23 20:45:00,-1,89508.3,3.2863,0.2082,0.8011,0.426,0.0536,19.79,0.9507,91222.0,-4.4944,19,0,0.0218,0.4771,0.4771,0.6491,-0.0483,0,42.32,58.49,0.665,1,0,0,87.0,88758.5,TP,0.838
2026-01-25 12:30:00,1,88758.5,-2.8472,0.4682,0.6683,0.1552,0.0239,33.41,0.9081,88788.7,-0.2192,159,0,-0.0696,1.5643,1.5643,8.6032,-0.8603,0,54.41,108.91,3.553,-1,0,0,84.0,87907.4,SL,-0.959
2026-01-25 16:00:00,-1,87907.4,1.6129,2.8709,0.0326,0.2174,0.3782,25.77,2.9677,88974.0,-5.5807,14,0,-0.0712,5.7894,9.0298,1.3159,1.1006,1,23.46,178.89,5.643,-1,1,0,94.0,87687.1,TP,0.251
2026-01-26 01:30:00,1,87687.1,-2.9484,0.082,0.6229,0.4534,0.3191,40.1,0.4196,87799.9,-0.2838,38,0,-0.0013,0.7124,0.7265,1.532,0.3051,1,61.98,30.92,0.489,-1,0,0,78.0,87643.0,SL,-0.05
2026-01-26 15:45:00,-1,87643.0,3.2788,0.4009,0.8082,0.4827,0.0714,18.56,0.9047,88857.0,-2.8697,57,0,-0.0435,1.4228,1.4228,2.1322,0.0014,1,44.87,114.15,1.28,1,0,0,54.0,88559.3,SL,-1.045
